folder_name,dvc_commit,time,n1,n2,N1,N2,Volume,Difficulty,Effort
DS_for_Air,a137860b21818d3bb83ddd01e28f8b51fbab3f1f,1580297038,3,5,16,49,195.0,14.700000000000001,2866.5
DS_for_Air,ae7d78cc999351ef6462a8f77051a8b27e80ac87,1578661607,2,5,5,18,64.56916320732489,3.6,232.4489875463696
DS_for_Air,0348a99ed471e831d2563ffcf7045413e635f6c4,1576007166,2,5,2,6,22.458839376460833,1.2,26.950607251753
DS_for_Air,5a7c8f95ea349ddd8dfd65587683736c930eb3e6,1575907484,1,4,1,4,11.60964047443681,0.5,5.804820237218405
DS_for_Air,cf0d71b1a9b901a4961ad1101e3a55dd1ad8a54f,1583495936,3,5,19,69,264.0,20.700000000000003,5464.800000000001
DS_for_Air,c2d957e42aa98193d309d6c3157ea74a36482ab4,1581361430,3,5,19,68,261.0,20.4,5324.4
DS_for_Air,7b7760b578fdfb35dec51e9e505ecba1b85e2a39,1578669467,2,5,5,18,64.56916320732489,3.6,232.4489875463696
DS_for_Air,5c5ebe44c7dc6d8e71c73437385c6434021c2e8c,1575915357,1,4,1,4,11.60964047443681,0.5,5.804820237218405
DS_for_Air,958f75565bc635fdecc2af2830d7bc4e40395f8e,1577215344,2,5,3,12,42.11032383086406,2.4,101.06477719407374
DS_for_Air,2e4f1fb0745865db3ac42009a69f7d53e85556bc,1583580650,3,5,22,77,297.0,23.1,6860.700000000001
DS_for_Air,a28ac5ea5aa0d2cecdef3248e96fec0cd27786d8,1576499816,2,5,3,12,42.11032383086406,2.4,101.06477719407374
DS_for_Air,badab64c94c74cefae2bee5299b2a74ae090f2b7,1578768635,2,5,7,29,101.06477719407376,5.8,586.1757077256277
DS_for_Air,c331f321bbb4eba0291912a870d7e0a60437ca8f,1584633431,3,5,22,77,297.0,23.1,6860.700000000001
DS_for_Air,90f83beda6c9e15d86a15577d8e66fdbf0c57deb,1584534825,3,5,22,77,297.0,23.1,6860.700000000001
DS_for_Air,9177a878455d51352cb8a5dca09ad216641f8269,1584467700,3,5,22,77,297.0,23.1,6860.700000000001
DS_for_Air,2c734860a10fa90bab76bbc9d92c33298e32c34a,1584390278,3,5,22,77,297.0,23.1,6860.700000000001
DS_for_Air,db939e298187195627802daf17192de0cd8a145e,1583860562,3,5,22,77,297.0,23.1,6860.700000000001
DS_for_Air,8083c2f72839f73e58359d87f40abc8634b80849,1583782578,3,5,22,77,297.0,23.1,6860.700000000001
DS_for_Air,7fc897273173a6bd667f9fde94a5d3725bd2f750,1583507250,3,5,22,77,297.0,23.1,6860.700000000001
DS_for_Air,05748e6a549138c0ac7a1afd68da0cd6fe5ee836,1583496038,3,5,19,69,264.0,20.700000000000003,5464.800000000001
DS_for_Air,97b73d0050d3809bc82d7cdd5d863d5279a4c2c6,1583492915,3,5,19,68,261.0,20.4,5324.4
DS_for_Air,348b9d1d6b4ed801f62ce471b0576d3bdc8fd99a,1583166473,3,5,19,68,261.0,20.4,5324.4
DS_for_Air,a8556ef0facf0243578643d256f36014e8970b36,1581953538,3,5,19,68,261.0,20.4,5324.4
DS_for_Air,9d7e5344d48f5e05c9734e18f2bff7c0a88ac502,1581418635,3,5,19,68,261.0,20.4,5324.4
DS_for_Air,ddfb2e0488d6b1d7d141094fb18b9260a6da58ca,1580810202,3,5,16,53,207.0,15.899999999999999,3291.2999999999997
DS_for_Air,75f041289402511e422cf8ee78d96a2991de5f4f,1580809447,3,5,16,53,207.0,15.899999999999999,3291.2999999999997
DS_for_Air,c41f1aefa14d5de5bee2d0302bf69dac281c0878,1579872364,3,5,16,49,195.0,14.700000000000001,2866.5
DS_for_Air,525433ce281e011572b3a2aa7e76fe3ab5824b1d,1579629638,3,5,14,36,150.0,10.8,1620.0
DS_for_Air,155def7e7aa968f616a445b83c1ca28e7c2854e3,1579539442,3,5,14,40,162.0,12.0,1944.0
DS_for_Air,cdd11d488e1ad6eec3a047373b4c09de7f24a6be,1579000856,2,5,7,29,101.06477719407376,5.8,586.1757077256277
DS_for_Air,7e541b1d309b6c8cb773a406dce713570fa86d37,1578774372,2,5,7,29,101.06477719407376,5.8,586.1757077256277
DS_for_Air,403086c66f28ad89d9041f3b6704e38a265faa39,1577642356,2,5,4,16,56.14709844115208,3.2,179.67071501168667
DS_for_Air,b99b5d748147279481403c7910c0346f28924225,1577635947,2,5,4,16,56.14709844115208,3.2,179.67071501168667
DS_for_Air,41cd6bdcf280659d1d0879607cf2db6ce1674f46,1575756900,1,4,1,4,11.60964047443681,0.5,5.804820237218405
DS_for_Air,8273f922bc5515391677ba0bae1cd0361e990a18,1575665424,1,4,1,4,11.60964047443681,0.5,5.804820237218405
DS_for_Air,e90d0eea9138a848a08277656614e807d3bd3617,1572903236,1,4,1,4,11.60964047443681,0.5,5.804820237218405
DS_for_Air,a639ea2193805a42d6fba00f1ad0577a7a9f35df,1572902952,1,4,1,4,11.60964047443681,0.5,5.804820237218405
